playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,totalTouchesInOppositionBox,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,tacklesLost,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,substituteOn,iboxTarget,shotsOnTargetInBox,putthroughBlockedDistribution,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,successfulDribbles,blocks,interceptions,backwardPasses,substituteOff,expectedGoals,blockedShots,overruns,throughBalls,goalAssists,goals,awayGoals,oboxBlocked,shotsOnTargetOutsideBox,shotsBlockedInBox,homeGoals,oboxTarget,rightFootGoals,headedGoals,otherGoals,iboxBlocked,shotsOffTargetIncWoodwork,clearancesOffTheLine,hitWoodwork,shotsBlockedOutsideBox,handballsConceded,successfulCrossesOpenPlay,successfulCrossesAndCorners,secondGoalAssists,unsuccessfulLayoffs,ownGoalScored,foulWonPenalty,cornersTakenInclShortCorners,leftFootGoals,redCards2ndYellow,unsuccessfulCornersIntoBox,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals
111234,Jordan Pickford,Goalkeeper,Everton,England,2025-26,4.0,1.0,0.2423,0.0,14.0,2.0,30.0,4.0,38.0,38.0,553.0,1439.0,200.0,7.0,11.0,4.0,3420.0,2.0,13.0,4.0,1.0,8.0,524.0,1.0,1.0,18.0,3.0,52.7697,2.0,131.0,52.0,50.0,2.0,258.0,100.0,6.0,0.0,17.0,2.0,965.0,311.0,38.0,2.0,1.0,1.0,270.0,46.0,10.0,5.0,0.0,238.0,970.0,1.0,562.0,1.0,98.0,27.0,216.0,1.0,362.0,1764.0,1.0,314.0,616.0,1.0,70.0,4.0,549.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229600,Mark Travers,Goalkeeper,Everton,Ireland,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138001,Tom King,Goalkeeper,Wolverhampton Wanderers U21,Wales,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243571,Nathan Patterson,Defender,Everton U21,Scotland,2025-26,13.0,,0.0411,0.0,,10.0,,11.0,7.0,3.0,20.0,84.0,,9.0,1.0,,240.0,2.0,20.0,1.0,,13.0,60.0,,1.0,,,3.1326,,,17.0,2.0,11.0,1.0,,2.0,0.0,33.0,,31.0,14.0,7.0,,6.0,,28.0,1.0,24.0,7.0,0.0,,84.0,,39.0,4.0,,,33.0,2.0,4.0,148.0,5.0,6.0,36.0,1.0,,0.0,9.0,6.0,1.0,0.0603,1.0,2.0,6.0,1.0,4.0,1.0,1.0,4.0,7.0,3.0,4.0,6.0,5.0,1.0,2.0,2.0,19.0,2.0,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106611,Michael Keane,Defender,Everton,England,2025-26,100.0,,0.508,1.0,,36.0,,93.0,33.0,29.0,160.0,1102.0,3.0,175.0,7.0,,2590.0,64.0,159.0,3.0,,48.0,881.0,,65.0,,2.0,43.2272,1.0,10.0,203.0,42.0,36.0,388.0,,6.0,0.0,259.0,,361.0,88.0,33.0,,13.0,3.0,311.0,39.0,84.0,111.0,1.0,3.0,1087.0,5.0,188.0,23.0,,,272.0,16.0,61.0,1537.0,2.0,34.0,631.0,5.0,,1.0,67.0,45.0,7.0,2.2077,18.0,1.0,1.0,,4.0,3.0,3.0,16.0,,13.0,5.0,1.0,10.0,6.0,27.0,37.0,81.0,1.0,2.1641,8.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,6.0,11.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,
17761,James Tarkowski,Defender,Everton,England,2025-26,111.0,,2.0707,0.0,,51.0,,159.0,37.0,37.0,302.0,1559.0,98.0,212.0,11.0,,3330.0,64.0,235.0,4.0,1.0,87.0,1157.0,,84.0,,3.0,50.5319,15.0,8.0,242.0,48.0,47.0,235.0,,35.0,1.0,346.0,,584.0,88.0,37.0,,22.0,4.0,435.0,44.0,134.0,148.0,0.0,98.0,1416.0,9.0,332.0,29.0,,,639.0,32.0,100.0,2093.0,1.0,47.0,824.0,14.0,,8.0,143.0,67.0,10.0,3.223,15.0,2.0,5.0,2.0,,8.0,8.0,29.0,1.0,17.0,4.0,5.0,5.0,4.0,52.0,32.0,101.0,,2.9118,6.0,,9.0,3.0,2.0,1.0,,,6.0,1.0,,1.0,1.0,,6.0,5.0,6.0,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,
512462,Jake O'Brien,Defender,Everton U21,Ireland,2025-26,124.0,,0.987,1.0,,57.0,,189.0,37.0,35.0,281.0,1079.0,6.0,175.0,9.0,,3124.0,59.0,195.0,4.0,1.0,79.0,757.0,,37.0,,3.0,48.8661,16.0,10.0,144.0,46.0,65.0,94.0,,17.0,0.0,319.0,,471.0,114.0,37.0,,25.0,1.0,387.0,42.0,144.0,116.0,1.0,6.0,1069.0,12.0,476.0,32.0,,,362.0,23.0,41.0,1814.0,198.0,60.0,424.0,7.0,,6.0,92.0,94.0,6.0,2.2547,10.0,,36.0,4.0,2.0,5.0,5.0,60.0,91.0,12.0,14.0,36.0,35.0,6.0,16.0,15.0,152.0,5.0,1.7358,3.0,5.0,2.0,1.0,1.0,0.0,,,3.0,1.0,,,1.0,,3.0,4.0,1.0,1.0,,1.0,13.0,13.0,,1.0,,,,,,,,,,,,
224967,Vitalii Mykolenko,Defender,Everton,Ukraine,2025-26,125.0,,2.4555,0.0,,51.0,,130.0,33.0,33.0,240.0,1188.0,,88.0,9.0,,2960.0,38.0,139.0,4.0,,89.0,895.0,,23.0,,2.0,47.9382,21.0,11.0,145.0,47.0,87.0,329.0,,28.0,0.0,264.0,,541.0,107.0,33.0,,23.0,2.0,576.0,43.0,176.0,50.0,0.0,,1176.0,11.0,484.0,28.0,,,120.0,29.0,53.0,2016.0,181.0,67.0,392.0,12.0,,6.0,110.0,72.0,2.0,0.1855,6.0,4.0,73.0,,,,,58.0,100.0,22.0,20.0,73.0,31.0,10.0,9.0,30.0,198.0,3.0,0.2937,3.0,,2.0,1.0,,,2.0,2.0,1.0,,2.0,,,,1.0,4.0,,,2.0,3.0,19.0,20.0,1.0,,1.0,,,,,,,,,,,
59949,Séamus Coleman,Defender,Everton,Ireland,2025-26,1.0,,0.1641,0.0,,,,,5.0,1.0,,18.0,,1.0,,,20.0,,2.0,,,1.0,17.0,,,,,0.8,1.0,,2.0,1.0,1.0,1.0,,1.0,0.0,3.0,,8.0,2.0,5.0,,,,13.0,1.0,2.0,1.0,0.0,,18.0,,1.0,,,,6.0,,1.0,26.0,1.0,,7.0,,,0.0,,,,,,,1.0,,4.0,,,,,,,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
480455,Jarrad Branthwaite,Defender,Everton,England,2025-26,20.0,,0.116,0.0,,13.0,,39.0,10.0,7.0,57.0,351.0,,38.0,,,681.0,8.0,44.0,1.0,,14.0,273.0,,9.0,,1.0,8.0706,3.0,1.0,41.0,9.0,12.0,101.0,,1.0,0.0,64.0,,156.0,29.0,10.0,,8.0,,147.0,8.0,26.0,30.0,0.0,,346.0,3.0,76.0,5.0,,,64.0,3.0,21.0,464.0,11.0,6.0,147.0,1.0,,1.0,18.0,18.0,2.0,0.6075,5.0,,3.0,1.0,3.0,1.0,1.0,6.0,5.0,1.0,4.0,3.0,6.0,,2.0,11.0,30.0,3.0,0.3516,1.0,,,,1.0,1.0,,,1.0,0.0,,,1.0,,1.0,3.0,,,,,,,,,,1.0,,,,,,,,,,
499300,Adam Aznou,Midfielder,Everton U21,Morocco,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
