playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,putthroughBlockedDistribution,totalTouchesInOppositionBox,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,tacklesLost,leftFootGoals,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,otherGoals,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,blocks,backwardPasses,throwInsToOwnPlayer,substituteOff,expectedGoals,successfulCrossesOpenPlay,substituteOn,successfulCrossesAndCorners,throwInsToOppositionPlayer,rightFootGoals,cornersWon,goalAssists,oboxBlocked,shotsOnTargetOutsideBox,oboxTarget,shotsBlockedOutsideBox,handballsConceded,successfulLayoffs,foulWonPenalty,headedGoals,hitWoodwork,expectedGoalsFreekick,cornersTakenInclShortCorners,freekickTotal,attemptsFromSetPieces,successfulCornersIntoBox,unsuccessfulCornersIntoBox,secondGoalAssists,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,redCards2ndYellow
154561,David Raya,Goalkeeper,Arsenal,Spain,2024-25,3.0,0.0747,0.0,51.0,20.0,14.0,38.0,38.0,362.0,1232.0,147.0,8.0,14.0,13.0,3.0,3420.0,24.0,4.0,1.0,10.0,699.0,8.0,3.0,36.0631,1.0,68.0,29.0,34.0,3.0,286.0,86.0,10.0,0.0,27.0,2.0,735.0,321.0,38.0,2.0,1.0,153.0,30.0,13.0,14.0,0.0,251.0,937.0,374.0,1.0,74.0,25.0,211.0,1.0,2.0,171.0,1599.0,198.0,717.0,1.0,66.0,3.0,348.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69752,Neto,Goalkeeper,Bournemouth,Brazil,2024-25,,0.0032,0.0,1.0,3.0,,2.0,2.0,21.0,54.0,15.0,,,,,180.0,2.0,,,2.0,22.0,2.0,,4.4993,,4.0,3.0,2.0,,9.0,11.0,2.0,0.0,2.0,,34.0,15.0,2.0,1.0,,9.0,2.0,2.0,,0.0,19.0,34.0,22.0,,3.0,4.0,11.0,,,11.0,80.0,11.0,24.0,,8.0,0.0,21.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551221,Tommy Setford,Goalkeeper,Arsenal,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553747,Alexei Rojas,Goalkeeper,Arsenal,Colombia,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616059,Jack Porter,Goalkeeper,Arsenal,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462424,William Saliba,Defender,Arsenal,France,2024-25,85.0,1.2892,1.0,,,98.0,35.0,35.0,138.0,2547.0,6.0,,100.0,12.0,,3041.0,152.0,4.0,1.0,90.0,2339.0,,2.0,30.0988,7.0,9.0,118.0,27.0,47.0,694.0,,17.0,0.0,237.0,,665.0,154.0,35.0,,,847.0,23.0,137.0,62.0,1.0,6.0,2505.0,180.0,12.0,,,1095.0,28.0,21.0,70.0,2883.0,24.0,1562.0,9.0,,2.0,40.0,44.0,1.0,3.0,1.0,1.9468,62.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,38.0,14.0,19.0,1.0,10.0,1.0,25.0,1.0,4.0,6.0,3.0,1.0,14.0,1.0,2.0,37.0,15.0,93.0,4.0,2.0,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
192895,Kieran Tierney,Defender,Arsenal,Scotland,2024-25,9.0,0.7262,0.0,,,11.0,13.0,2.0,13.0,145.0,,,11.0,,,252.0,16.0,,,10.0,128.0,,,2.1572,8.0,1.0,9.0,1.0,4.0,61.0,,2.0,0.0,25.0,,36.0,6.0,13.0,,,93.0,1.0,14.0,6.0,0.0,,141.0,32.0,2.0,,,13.0,1.0,3.0,4.0,203.0,1.0,41.0,1.0,,0.0,2.0,4.0,,1.0,,0.4379,7.0,2.0,1.0,12.0,1.0,2.0,1.0,,,5.0,2.0,6.0,,,0.0,2.0,,,1.0,12.0,,1.0,,1.0,5.0,,35.0,11.0,2.0,0.3557,2.0,11.0,2.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,
198869,Ben White,Defender,Arsenal,England,2024-25,51.0,1.4133,0.0,,,59.0,17.0,13.0,80.0,590.0,4.0,,27.0,5.0,,1198.0,43.0,1.0,,25.0,492.0,,2.0,15.7951,8.0,3.0,38.0,13.0,42.0,60.0,,5.0,0.0,94.0,,216.0,37.0,17.0,,,295.0,12.0,67.0,18.0,0.0,4.0,566.0,134.0,,,,221.0,10.0,16.0,18.0,833.0,8.0,218.0,3.0,,2.0,21.0,16.0,4.0,2.0,,0.2161,20.0,5.0,1.0,14.0,,1.0,,1.0,1.0,9.0,9.0,29.0,3.0,2.0,,6.0,,,5.0,14.0,,11.0,3.0,3.0,14.0,8.0,93.0,67.0,3.0,0.456,3.0,4.0,3.0,16.0,,5.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
226597,Gabriel Magalhães,Defender,Arsenal,Brazil,2024-25,63.0,1.2017,0.0,,,74.0,28.0,28.0,151.0,1628.0,26.0,,93.0,10.0,,2365.0,101.0,3.0,,46.0,1420.0,,2.0,22.1687,12.0,10.0,89.0,22.0,25.0,749.0,,19.0,1.0,164.0,,502.0,63.0,28.0,,,658.0,19.0,71.0,55.0,0.0,26.0,1551.0,173.0,4.0,,,267.0,19.0,16.0,57.0,1911.0,38.0,819.0,8.0,,4.0,77.0,38.0,7.0,5.0,,2.3386,25.0,15.0,1.0,9.0,3.0,,3.0,2.0,2.0,38.0,21.0,41.0,7.0,13.0,0.0,10.0,,2.0,1.0,9.0,,3.0,7.0,10.0,15.0,29.0,110.0,3.0,3.0,2.621,,,,,,2.0,1.0,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,,,
445122,Jurriën Timber,Defender,Arsenal,Netherlands,2024-25,107.0,1.2699,0.0,,,116.0,30.0,27.0,143.0,1182.0,,,42.0,7.0,,2422.0,133.0,4.0,,111.0,1027.0,,,20.9841,14.0,1.0,41.0,21.0,87.0,196.0,,29.0,1.0,240.0,,348.0,94.0,30.0,,,632.0,17.0,198.0,22.0,0.0,,1160.0,285.0,24.0,,,419.0,31.0,22.0,12.0,1752.0,15.0,411.0,16.0,,7.0,27.0,44.0,6.0,4.0,3.0,0.7503,58.0,8.0,2.0,24.0,1.0,6.0,0.0,2.0,2.0,20.0,40.0,70.0,5.0,15.0,1.0,20.0,,,24.0,24.0,,48.0,5.0,4.0,38.0,4.0,219.0,151.0,9.0,1.1694,4.0,3.0,4.0,31.0,,11.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,,,,,,,,,,,,
